@relation data

@attribute 'RSSI LEFT_ORIGIN' numeric
@attribute 'RSSI MIDDLE_ORIGIN' numeric
@attribute 'RSSI RIGHT_ORIGIN' numeric
@attribute 'RSSI TRUNK_ORIGIN' numeric
@attribute class {near,far}

@data
6.157366,7.248162,9.58451,6.648162,far
4.857366,9.540077,11.14418,6.357366,far
5.779555,8.88451,11.23315,5.579555,far
10.498351,5.657366,2.732787,5.683659,far
7.298351,4.479228,1.82672,4.652565,far
1.676402,1.22672,0.689835,1.293315,near
0.974008,1.493315,1.593315,0.645737,near
7.740077,7.598351,1.544348,4.352565,far
4.352565,5.479555,12.148162,4.883659,far
1.732787,8.447627,11.58451,3.08138,far
0.974008,5.383659,5.083659,2.18145,near
3.757366,2.746283,2.747627,1.089835,near
3.28145,6.783659,10.48451,5.252565,far
2.28145,3.62672,3.657366,1.689835,near
1.732787,8.240077,8.88451,4.352565,far
10.598351,6.952565,1.932787,5.383659,far
3.347627,6.348162,6.148162,2.947627,far
5.683659,4.157366,1.732787,5.052565,far
1.093315,1.52672,2.18145,0.789835,near
3.08138,6.548162,6.348162,3.147627,far
2.54422,3.68145,4.079228,2.14422,far
3.979228,1.832787,2.946283,0.889835,near
0.614816,1.544348,2.38145,0.868451,near
10.88451,9.879555,4.079228,7.798351,far
